Cilindro #1
	Diametro reale: 49.98
	Colore: b
	Diametro nominale: 50
	Tolleranza: 0.05

Cilindro #2
	Diametro reale: 89.94
	Colore: r
	Diametro nominale: 90
	Tolleranza: 0.09

Cilindro #3
	Diametro reale: 70.03
	Colore: g
	Diametro nominale: 70
	Tolleranza: 0.07

Cilindro #4
	Diametro reale: 90.12
	Colore: r
	Diametro nominale: 90
	Tolleranza: 0.09

Cilindro #5
	Diametro reale: 49.93
	Colore: b
	Diametro nominale: 50
	Tolleranza: 0.05

Cilindro #6
	Diametro reale: 49.99
	Colore: b
	Diametro nominale: 50
	Tolleranza: 0.05

Cilindro #7
	Diametro reale: 70.07
	Colore: g
	Diametro nominale: 70
	Tolleranza: 0.07

Cilindro #8
	Diametro reale: 89.92
	Colore: r
	Diametro nominale: 90
	Tolleranza: 0.09

Cilindro #9
	Diametro reale: 90.15
	Colore: r
	Diametro nominale: 90
	Tolleranza: 0.09

Cilindro #10
	Diametro reale: 90.13
	Colore: r
	Diametro nominale: 90
	Tolleranza: 0.09

Cilindro #11
	Diametro reale: 49.93
	Colore: b
	Diametro nominale: 50
	Tolleranza: 0.05

Cilindro #12
	Diametro reale: 70.02
	Colore: g
	Diametro nominale: 70
	Tolleranza: 0.07

Cilindro #13
	Diametro reale: 49.99
	Colore: b
	Diametro nominale: 50
	Tolleranza: 0.05

Cilindro #14
	Diametro reale: 49.91
	Colore: b
	Diametro nominale: 50
	Tolleranza: 0.05

Cilindro #15
	Diametro reale: 49.99
	Colore: b
	Diametro nominale: 50
	Tolleranza: 0.05

Cilindro #16
	Diametro reale: 70.03
	Colore: g
	Diametro nominale: 70
	Tolleranza: 0.07

Cilindro #17
	Diametro reale: 69.93
	Colore: g
	Diametro nominale: 70
	Tolleranza: 0.07

Cilindro #18
	Diametro reale: 50.01
	Colore: b
	Diametro nominale: 50
	Tolleranza: 0.05

Cilindro #19
	Diametro reale: 89.91
	Colore: r
	Diametro nominale: 90
	Tolleranza: 0.09

Cilindro #20
	Diametro reale: 49.96
	Colore: b
	Diametro nominale: 50
	Tolleranza: 0.05

Cilindro #21
	Diametro reale: 70.02
	Colore: g
	Diametro nominale: 70
	Tolleranza: 0.07

Cilindro #22
	Diametro reale: 89.93
	Colore: r
	Diametro nominale: 90
	Tolleranza: 0.09

Cilindro #23
	Diametro reale: 69.99
	Colore: g
	Diametro nominale: 70
	Tolleranza: 0.07

Cilindro #24
	Diametro reale: 49.96
	Colore: b
	Diametro nominale: 50
	Tolleranza: 0.05

Cilindro #25
	Diametro reale: 49.97
	Colore: b
	Diametro nominale: 50
	Tolleranza: 0.05

Cilindro #26
	Diametro reale: 50.04
	Colore: b
	Diametro nominale: 50
	Tolleranza: 0.05

Cilindro #27
	Diametro reale: 49.97
	Colore: b
	Diametro nominale: 50
	Tolleranza: 0.05

Cilindro #28
	Diametro reale: 69.89
	Colore: g
	Diametro nominale: 70
	Tolleranza: 0.07

Cilindro #29
	Diametro reale: 69.98
	Colore: g
	Diametro nominale: 70
	Tolleranza: 0.07

Cilindro #30
	Diametro reale: 49.96
	Colore: b
	Diametro nominale: 50
	Tolleranza: 0.05

Cilindro #31
	Diametro reale: 89.91
	Colore: r
	Diametro nominale: 90
	Tolleranza: 0.09

Cilindro #32
	Diametro reale: 49.99
	Colore: b
	Diametro nominale: 50
	Tolleranza: 0.05

Cilindro #33
	Diametro reale: 90.01
	Colore: r
	Diametro nominale: 90
	Tolleranza: 0.09

Cilindro #34
	Diametro reale: 49.94
	Colore: b
	Diametro nominale: 50
	Tolleranza: 0.05

Cilindro #35
	Diametro reale: 49.86
	Colore: b
	Diametro nominale: 50
	Tolleranza: 0.05

Cilindro #36
	Diametro reale: 70.05
	Colore: g
	Diametro nominale: 70
	Tolleranza: 0.07

Cilindro #37
	Diametro reale: 49.99
	Colore: b
	Diametro nominale: 50
	Tolleranza: 0.05

Cilindro #38
	Diametro reale: 50.04
	Colore: b
	Diametro nominale: 50
	Tolleranza: 0.05

Cilindro #39
	Diametro reale: 50.02
	Colore: b
	Diametro nominale: 50
	Tolleranza: 0.05

Cilindro #40
	Diametro reale: 90
	Colore: r
	Diametro nominale: 90
	Tolleranza: 0.09

Cilindro #41
	Diametro reale: 49.94
	Colore: b
	Diametro nominale: 50
	Tolleranza: 0.05

Cilindro #42
	Diametro reale: 69.97
	Colore: g
	Diametro nominale: 70
	Tolleranza: 0.07

Cilindro #43
	Diametro reale: 49.97
	Colore: b
	Diametro nominale: 50
	Tolleranza: 0.05

Cilindro #44
	Diametro reale: 89.86
	Colore: r
	Diametro nominale: 90
	Tolleranza: 0.09

Cilindro #45
	Diametro reale: 50.06
	Colore: b
	Diametro nominale: 50
	Tolleranza: 0.05

Cilindro #46
	Diametro reale: 89.9
	Colore: r
	Diametro nominale: 90
	Tolleranza: 0.09

Cilindro #47
	Diametro reale: 89.93
	Colore: r
	Diametro nominale: 90
	Tolleranza: 0.09

Cilindro #48
	Diametro reale: 70.04
	Colore: g
	Diametro nominale: 70
	Tolleranza: 0.07

Cilindro #49
	Diametro reale: 70.06
	Colore: g
	Diametro nominale: 70
	Tolleranza: 0.07

Cilindro #50
	Diametro reale: 70.06
	Colore: g
	Diametro nominale: 70
	Tolleranza: 0.07

Cilindro #51
	Diametro reale: 69.97
	Colore: g
	Diametro nominale: 70
	Tolleranza: 0.07

Cilindro #52
	Diametro reale: 69.99
	Colore: g
	Diametro nominale: 70
	Tolleranza: 0.07

Cilindro #53
	Diametro reale: 50.09
	Colore: b
	Diametro nominale: 50
	Tolleranza: 0.05

Cilindro #54
	Diametro reale: 50.08
	Colore: b
